project_role_id,project_id,personnel_id,role_code,key_personnel,funding_award_id,source_system
PROJECT-DCK800:V00809547:PI,PROJECT-DCK800,V00809547,PI,Y,,Banner Grant Listing Report
PROJECT-EFK620:V00601235:PI,PROJECT-EFK620,V00601235,PI,Y,,Banner Grant Listing Report
PROJECT-EFK732:V00758276:PI,PROJECT-EFK732,V00758276,PI,Y,,Banner Grant Listing Report
PROJECT-EFK736:V00433036:PI,PROJECT-EFK736,V00433036,PI,Y,,Banner Grant Listing Report
PROJECT-ETK242:V00470066:PI,PROJECT-ETK242,V00470066,PI,Y,,Banner Grant Listing Report
PROJECT-GNK545:V00096425:PI,PROJECT-GNK545,V00096425,PI,Y,,Banner Grant Listing Report
PROJECT-GNK829:V00565242:PI,PROJECT-GNK829,V00565242,PI,Y,,Banner Grant Listing Report
PROJECT-GNK869:V00510140:PI,PROJECT-GNK869,V00510140,PI,Y,,Banner Grant Listing Report
PROJECT-IMK113:V00638560:PI,PROJECT-IMK113,V00638560,PI,Y,,Banner Grant Listing Report
PROJECT-JDK061:V00908462:PI,PROJECT-JDK061,V00908462,PI,Y,,Banner Grant Listing Report
PROJECT-KBK550:V00430930:PI,PROJECT-KBK550,V00430930,PI,Y,,Banner Grant Listing Report
PROJECT-KGK088:V00847929:PI,PROJECT-KGK088,V00847929,PI,Y,,Banner Grant Listing Report
PROJECT-V19018:V00565242:PI,PROJECT-V19018,V00565242,PI,Y,,Banner Grant Listing Report
PROJECT-V19034:V00983683:PI,PROJECT-V19034,V00983683,PI,Y,,Banner Grant Listing Report
